"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Almeida M.C.D.; Cordeiro A.M.R.; Cunha-Oliveira A.; Barros D.M.S.; Santos D.G.S.M.; Lima T.S.; Valentim R.A.M.","Almeida, Milena C. D. (58399675200); Cordeiro, António M. R. (57191955670); Cunha-Oliveira, Aliete (57212134830); Barros, Daniele M. S. (57216405721); Santos, Diana G. S. M. (57329570800); Lima, Thaísa S. (57226123657); Valentim, Ricardo A. M. (35606294400)","58399675200; 57191955670; 57212134830; 57216405721; 57329570800; 57226123657; 35606294400","Syphilis response policies and their assessments: A scoping review","2022","Frontiers in Public Health","10","","1002245","","","","5","10.3389/fpubh.2022.1002245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139174852&doi=10.3389%2ffpubh.2022.1002245&partnerID=40&md5=b941b1f33819b8ee3c929271718653c3","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139174852"
"Lynn T.; Endo P.T.; Rosati P.; Silva I.; Santos G.L.; Ging D.","Lynn, Theo (25825321500); Endo, Patricia Takako (36160299900); Rosati, Pierangelo (57193007878); Silva, Ivanovitch (36537969500); Santos, Guto Leoni (57195960665); Ging, Debbie (57126459700)","25825321500; 36160299900; 57193007878; 36537969500; 57195960665; 57126459700","A comparison of machine learning approaches for detecting misogynistic speech in urban dictionary","2019","2019 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, Cyber SA 2019","","","8899669","","","","23","10.1109/CyberSA.2019.8899669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071578374&doi=10.1109%2fCyberSA.2019.8899669&partnerID=40&md5=7b56a5a5e34445bd1e2da26255e98dda","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85071578374"
"Bay M.B.; Freitas M.R.D.; Lucas M.C.V.; Souza E.C.F.D.; Roncalli A.G.","Bay, Monica Baumgardt (57207532887); Freitas, Marise Reis de (56912886200); Lucas, Marcia Cavalcante Vinhas (57207815670); Souza, Elizabeth Cristina Fagundes de (56365311800); Roncalli, Angelo Giuseppe (14009515100)","57207532887; 56912886200; 57207815670; 56365311800; 14009515100","HIV testing and HIV knowledge among men who have sex with men in Natal, Northeast Brazil","2019","Brazilian Journal of Infectious Diseases","23","1","","2","7","5","6","10.1016/j.bjid.2019.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062988978&doi=10.1016%2fj.bjid.2019.01.003&partnerID=40&md5=f40c962ef2dd21c0250eac4d15f3795b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85062988978"
"de Araújo Barbosa A.L.; dos Anjos A.B.L.; Azoni C.A.S.","de Araújo Barbosa, Alexandre Lucas (57223086410); dos Anjos, Ana Beatriz Leite (58294163500); Azoni, Cíntia Alves Salgado (55214960100)","57223086410; 58294163500; 55214960100","Learning impacts on elementary education students during physical and social distancing due COVID-19; [Impactos na aprendizagem de estudantes da educação básica durante o isolamento físico social pela pandemia do COVID-19]","2022","CODAS","34","4","e20200373","","","","3","10.1590/2317-1782/20212020373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133214848&doi=10.1590%2f2317-1782%2f20212020373&partnerID=40&md5=d425a170cacc5061529f0d30ea7ed327","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85133214848"
"Coutinho R.Z.; de Lima L.C.; Leocádio V.A.; Bernardes T.","Coutinho, Raquel Zanatta (56285119700); de Lima, Luciana Conceição (57216244660); Leocádio, Victor Antunes (57221494363); Bernardes, Tereza (57211394110)","56285119700; 57216244660; 57221494363; 57211394110","Considerations about the COVID-19 pandemic and its effects on fertility and sexual and reproductive health of Brazilian women; [Considerações sobre a pandemia de covid-19 e seus efeitos sobre a fecundidade e a saúde sexual e reprodutiva das brasileiras]","2020","Revista Brasileira de Estudos de Populacao","37","","e0130","1","21","20","9","10.20947/s0102-3098a0130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099302440&doi=10.20947%2fs0102-3098a0130&partnerID=40&md5=93d949a2c9f0f94dc923735391374038","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099302440"
"Ribeiro C.C.; Moreira T.O.","Ribeiro, Camila Carvalho (58902683000); Moreira, Thiago Oliveira (58189687800)","58902683000; 58189687800","Inter-american protection of women's human rights: guidelines to implementing gender laws and public policies, with focus on brazil; [Proteção interamericana aos direitos humanos da mulher: diretrizes para a implementação de leis e políticas públicas de gênero, com ênfase para o Brasil]","2023","Revista Brasileira de Politicas Publicas","13","3","","374","398","24","0","10.5102/rbpp.v13i3.8506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185819444&doi=10.5102%2frbpp.v13i3.8506&partnerID=40&md5=aa37a95c6eac80f69729ab2e11a969f3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85185819444"
"Soares M.L.M.; Guimarães N.G.M.; Bonfada D.","Soares, Marcelo Luiz Medeiros (57205139915); Guimarães, Natália Guedes Miguel (57375163700); Bonfada, Diego (36959595300)","57205139915; 57375163700; 36959595300","Trend, spatialization and circumstances associated with violence against vulnerable populations in Brazil, between 2009 and 2017; [Tendência, espacialização e circunstâncias associadas às violências contra populações vulneráveis no Brasil, entre 2009 e 2017]","2021","Ciencia e Saude Coletiva","26","11","","5751","5763","12","3","10.1590/1413-812320212611.25242020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121295260&doi=10.1590%2f1413-812320212611.25242020&partnerID=40&md5=4267e1e9f27baf677bd188a747827a66","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85121295260"
"Jales A.K.F.A.; de Sousa H.R.A.; de Andrade Oliveira L.C.; Moreira O.A.A.; de Souza Costa T.M.; da Silva R.A.R.","Jales, Andressa Kaline Ferreira Araújo (57833484100); de Sousa, Helena Rangel Alves (57833372800); de Andrade Oliveira, Lahelya Carla (57832793000); Moreira, Olga Alice Alencar (57216525460); de Souza Costa, Thatiane Monick (57191853576); da Silva, Richardson Augusto Rosendo (57214510689)","57833484100; 57833372800; 57832793000; 57216525460; 57191853576; 57214510689","Validation of assistive technologies on sexually transmitted infections for the blind: methodological study","2019","Online Brazilian Journal of Nursing","16","","","68","70","2","0","10.17665/1676-4285.20176147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135538857&doi=10.17665%2f1676-4285.20176147&partnerID=40&md5=47ac133fa1fb24d28447b38a8e3a687d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85135538857"
"Montana J.F.; Ferreira G.R.O.N.; Cunha C.L.F.; de Queiroz A.A.R.; Fernandes W.A.A.; Polaro S.H.I.; Gonçalves L.H.T.; Couto D.C.C.; Gir E.; Reis R.K.; Sorensen W.; Botelho E.P.","Montana, Jhon Freddy (57221698758); Ferreira, Glenda Roberta Oliveira Naiff (57220717245); Cunha, Carlos Leonardo Figueiredo (47860948000); de Queiroz, Ana Angélica Rêgo (57196005276); Fernandes, Wellington Augusto Andrade (57221694126); Polaro, Sandra Helena Isse (39362165000); Gonçalves, Lucia Hisako Takase (23473458000); Couto, Danielle Costa Carrara (57221685230); Gir, Elucir (7003341132); Reis, Renata Karina (7103370500); Sorensen, Wiliam (6603741546); Botelho, Eliã Pinheiro (57211540618)","57221698758; 57220717245; 47860948000; 57196005276; 57221694126; 39362165000; 23473458000; 57221685230; 7003341132; 7103370500; 6603741546; 57211540618","The HIV epidemic in Colombia: spatial and temporal trends analysis","2021","BMC Public Health","21","1","178","","","","14","10.1186/s12889-021-10196-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099841719&doi=10.1186%2fs12889-021-10196-y&partnerID=40&md5=798e85e5bfd6ee83b48388f0e67d8711","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099841719"
"Galvão J.J.D.S.; Cunha C.L.F.; Pinho E.C.C.; Paiva D.D.J.D.S.; de Castro N.J.C.; Nascimento V.G.C.; de Azevedo Junior W.S.; da Silva R.A.R.; Feitosa R.N.M.; Vallinoto A.C.R.; Botelho E.P.; Ferreira G.R.O.N.","Galvão, José Jorge da Silva (58000445000); Cunha, Carlos Leonardo Figueiredo (47860948000); Pinho, Ellen Christiane Correa (58000233400); Paiva, David de Jesus da Silva (58000233500); de Castro, Nádile Juliane Costa (57999580100); Nascimento, Valéria Gabriele Caldas (57985436700); de Azevedo Junior, Wanderson Santiago (57985256500); da Silva, Richardson Augusto Rosendo (57214510689); Feitosa, Rosimar Neris Martins (55577454200); Vallinoto, Antonio Carlos Rosário (6602301308); Botelho, Eliã Pinheiro (57211540618); Ferreira, Glenda Roberta Oliveira Naiff (57220717245)","58000445000; 47860948000; 58000233400; 58000233500; 57999580100; 57985436700; 57985256500; 57214510689; 55577454200; 6602301308; 57211540618; 57220717245","Seroprevalence of Chlamydia trachomatis and Associated Factors among Vulnerable Riverine in the Brazilian Amazon","2022","International Journal of Environmental Research and Public Health","19","23","15969","","","","1","10.3390/ijerph192315969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143727601&doi=10.3390%2fijerph192315969&partnerID=40&md5=9a3d73954f8f5812fe1ce73bef35d516","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85143727601"
